,id,host_id,comuna,latitude,longitude,bathrooms,bedrooms,beds,price,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,total_price,tipo,ingresos_25p,ingresos_50p,ingresos_75p,ingresos_100p
1673,11457976,58307527,Santiago,-33.45017,-70.65733,1,1,1.0,23459.0,0.0,16,46,76,76,268,95.0,23459.0,1D+1B,234590.0,351885.0,469180.0,703770.0
1674,11460288,8755905,Providencia,-33.42314,-70.60976,2,2,5.0,60322.0,0.0,12,31,54,186,27,96.0,60322.0,2D+2B,603220.0,904830.0,1206440.0,1809660.0
1676,11479520,60411566,Santiago,-33.44547,-70.63637,2,2,2.0,18767.0,25000.0,0,0,0,13,69,93.0,43767.0,2D+2B,212670.0,306505.0,400340.0,588010.0
1677,11480383,60419478,Santiago,-33.44401,-70.65819,2,3,3.0,60322.0,25000.0,24,54,84,284,32,96.0,85322.0,3D+2B,628220.0,929830.0,1231440.0,1834660.0
1678,11483156,59659619,Providencia,-33.41954,-70.61194,1,1,1.0,56971.0,16756.0,30,60,90,365,1,100.0,73727.0,1D+1B,586466.0,871321.0,1156176.0,1725886.0
1679,11488480,60483518,Santiago,-33.44629,-70.63816,2,2,3.0,40215.0,0.0,30,60,90,365,3,87.0,40215.0,2D+2B,402150.0,603225.0,804300.0,1206450.0
1686,11498618,58514736,Santiago,-33.44687,-70.64156,1,1,1.0,22788.0,0.0,0,0,0,0,173,94.0,22788.0,1D+1B,227880.0,341820.0,455760.0,683640.0
1687,11503777,16545538,Vitacura,-33.40585,-70.59701,2,2,1.0,46917.0,20107.0,0,0,0,0,4,100.0,67024.0,2D+2B,489277.0,723862.0,958447.0,1427617.0
1688,11510905,60653237,Santiago,-33.43637,-70.64611,1,1,1.0,28821.0,20000.0,25,55,85,360,71,96.0,48821.0,1D+1B,308210.0,452315.0,596420.0,884630.0
1690,11550917,5013309,Santiago,-33.45015,-70.63296,1,1,1.0,17426.0,20000.0,0,13,43,318,1,100.0,37426.0,1D+1B,194260.0,281390.0,368520.0,542780.0
1695,11567184,31922328,Santiago,-33.436,-70.64485,1,1,2.0,32172.0,20107.0,4,4,4,77,157,99.0,52279.0,1D+1B,341827.0,502687.0,663547.0,985267.0
1696,11583325,40492793,Santiago,-33.43902,-70.65119,1,1,1.0,16756.0,33512.0,0,13,24,136,82,96.0,50268.0,1D+1B,201072.0,284852.0,368632.0,536192.0
1698,11592434,264378,Santiago,-33.44634,-70.64374000000001,2,2,3.0,25469.0,18767.0,18,36,66,332,108,92.0,44236.0,2D+2B,273457.0,400802.0,528147.0,782837.0
1700,11608212,61442018,Providencia,-33.42019000000001,-70.61121999999999,1,1,3.0,40215.0,6702.0,0,0,0,0,86,90.0,46917.0,1D+1B,408852.0,609927.0,811002.0,1213152.0
1701,11608852,61442018,Providencia,-33.4216,-70.60987,1,1,3.0,38874.0,6702.0,0,0,0,0,33,91.0,45576.0,1D+1B,395442.0,589812.0,784182.0,1172922.0
1702,11616075,49180770,Providencia,-33.43768,-70.59961,2,2,3.0,43566.0,0.0,0,0,12,287,4,100.0,43566.0,2D+2B,435660.0,653490.0,871320.0,1306980.0
1706,11656852,61854992,Providencia,-33.42918,-70.62077,2,2,3.0,53620.0,33512.0,13,43,73,163,28,98.0,87132.0,2D+2B,569712.0,837812.0,1105912.0,1642112.0
1707,11657827,35976583,Santiago,-33.4443,-70.64284,2,2,3.0,34853.0,20107.0,22,52,82,262,110,94.0,54960.0,2D+2B,368637.0,542902.0,717167.0,1065697.0
1709,11676317,10177065,Las Condes,-33.41578,-70.60364,1,1,1.0,36864.0,10054.0,19,49,79,348,18,96.0,46918.0,1D+1B,378694.0,563014.0,747334.0,1115974.0
1711,11678093,5550648,Santiago,-33.44368,-70.64406,1,1,1.0,25469.0,30161.0,9,39,69,335,144,95.0,55630.0,1D+1B,284851.0,412196.0,539541.0,794231.0
1712,11678466,5550648,Santiago,-33.44504000000001,-70.64333,1,1,1.0,37534.0,30161.0,12,42,72,340,131,95.0,67695.0,1D+1B,405501.0,593171.0,780841.0,1156181.0
1713,11678597,42758536,Santiago,-33.44989,-70.64376,1,1,2.0,53620.0,0.0,29,59,89,179,1,20.0,53620.0,1D+1B,536200.0,804300.0,1072400.0,1608600.0
1715,11696359,49780698,Providencia,-33.43029,-70.61782,1,1,1.0,26140.0,12064.0,6,20,50,316,4,100.0,38204.0,1D+1B,273464.0,404164.0,534864.0,796264.0
1719,11722090,36669609,Santiago,-33.44389,-70.64389,1,1,3.0,33512.0,0.0,29,59,89,364,28,84.0,33512.0,1D+1B,335120.0,502680.0,670240.0,1005360.0
